PixelID,TelID,EyeID,Status,Charge,Theta,Phi,TimeOffset,PulseStart,PulseCentroid,PulseStop,TraceBins
508,2,5,0,0,33.8414,100.726,0,602,0,611,1.87495 -5.23777 -12.3505 -5.23777 -7.60867 6.61676 16.1004 4.24586 6.61676 -2.86686 -2.86686 -14.7214 6.61676 -5.23777 -2.86686
577,2,5,0,0,38.0298,96.5408,0,598,0,616,-2.94579 -2.94579 -0.321359 -5.57022 -8.19466 -16.068 -5.57022 2.30307 -8.19466 -16.068 -8.19466 18.0497 23.2985 28.5474 2.30307 23.2985 10.1764 -5.57022 -0.321359 -0.321359 -8.19466 4.9275 -10.8191 -18.6924
488,2,5,0,50.9301,36.2022,102.922,0,601,0,611,3.48717 3.48717 -11.1068 -15.9715 -13.5392 -18.4038 -3.80983 18.0812 10.7842 22.9458 10.7842 10.7842 3.48717 8.35184 22.9458 -1.37749
531,2,5,0,133.479,35.197,99.9833,0,598,0,611,1.45 11.7846 19.5355 14.3682 14.3682 24.7028 6.61728 6.61728 -1.13364 -8.88455 -3.71728 -1.13364 16.9518 22.1191 14.3682 -6.30092 -6.30092 9.20092 -1.13364
576,2,5,4,253.673,36.7871,95.4922,0,604,304.702,616,10.4422 -2.66068 -5.28124 -0.0401107 20.9244 65.474 41.8889 34.0272 5.20102 -10.5224 13.0627 31.4067 23.545 10.4422 10.4422 7.82159 -5.28124 -2.66068
599,2,5,0,107.754,38.1222,94.6389,0,598,0,616,-2.32782 -11.7675 0.818751 7.11189 13.405 13.405 -8.62096 -5.47439 16.5516 13.405 3.96532 7.11189 -2.32782 10.2585 44.8707 0.818751 10.2585 25.9913 3.96532 -11.7675 -11.7675 3.96532 -5.47439 -8.62096
575,2,5,4,1653.23,35.4487,96.3192,0,602,302.977,609,2.86774 -15.7794 -7.78776 -10.4516 -7.78776 162.7 738.098 631.542 160.036 0.203868 -21.1071 -10.4516 -7.78776
534,2,5,4,318.384,39.1147,99.5549,0,598,303.761,612,9.23114 -16.1093 -13.5752 9.23114 4.16306 6.6971 11.7652 9.23114 16.8333 -3.43905 -8.50713 11.7652 57.3779 70.0481 113.127 34.5715 -11.0412 -3.43905 -13.5752 -5.97309
555,2,5,4,516.151,37.9067,98.4371,0,602,304.142,613,-12.1346 -14.6224 -14.6224 -4.67105 0.304634 30.1587 17.7195 27.6709 137.136 171.966 82.4034 27.6709 17.7195 2.79247 5.28032 -9.64673 -2.18321
532,2,5,4,394.784,36.5523,99.2212,0,601,303.813,611,4.64836 1.98439 -6.00753 -0.679584 15.3042 7.31233 -0.679584 23.2962 57.9278 119.199 108.543 47.2719 17.9682 -0.679584 -8.6715 7.31233
578,2,5,0,57.9424,39.3723,95.6952,0,602,0,613,-7.98387 -0.237145 12.6741 -7.98387 -7.98387 12.6741 -10.5661 -2.81939 4.92734 -10.5661 -2.81939 15.2563 12.6741 20.4208 25.5853 10.0918 -5.40163
512,2,5,0,21.9778,38.9384,101.472,0,598,0,613,-5.60755 21.2648 2.45416 -10.982 -10.982 -2.92031 -2.92031 -2.92031 2.45416 -16.3565 -2.92031 10.5159 -2.92031 5.1414 23.9521 21.2648 7.82863 2.45416 -13.6693 -5.60755 2.45416
509,2,5,0,0,35.0299,101.806,0,601,0,611,-5.3622 12.1058 17.9285 -5.3622 -2.45087 6.28313 3.3718 -11.1849 -8.27353 -14.0962 -17.0075 -22.8302 -2.45087 -8.27353 17.9285 35.3964
554,2,5,4,879.136,36.6843,97.3595,0,598,303.334,610,-14.1371 -16.2801 -1.27923 9.43568 13.7216 11.5787 0.863753 24.4365 -1.27923 -11.9941 67.2962 341.598 311.596 108.013 13.7216 -9.85115 -14.1371 9.43568
558,2,5,0,0,41.8328,97.9346,0,538,0,557,-5.96556 -13.9016 -8.61092 1.97052 -8.61092 -8.61092 -5.96556 -16.547 -24.4831 -13.9016 -11.2563 -11.2563 -3.3202 -0.674837 12.552 28.4241 4.61588 -13.9016 7.26124 7.26124 -19.1924 -13.9016 -5.96556 -8.61092 -29.7738
510,2,5,0,141.019,36.3915,101.076,0,598,0,613,49.7733 18.4854 18.4854 24.743 31.0005 5.97024 5.97024 9.09902 -9.6737 -0.287338 -6.54491 -6.54491 9.09902 5.97024 2.84145 -6.54491 -6.54491 -9.6737 12.2278 -0.287338 -6.54491
533,2,5,0,134.731,37.7534,100.326,0,598,0,613,-10.3576 -7.66871 -2.29101 5.77554 27.2864 19.2198 -4.97986 8.46439 13.8421 11.1532 0.39784 -4.97986 5.77554 46.1083 51.486 -10.3576 -2.29101 -7.66871 -10.3576 0.39784 5.77554
556,2,5,0,97.0112,39.2594,97.6286,0,598,0,613,6.39844 -6.94298 -12.2796 1.06187 -6.94298 -12.2796 -9.61127 3.73015 -4.2747 -4.2747 11.735 1.06187 11.735 25.0764 33.0813 35.7496 1.06187 -4.2747 9.06672 14.4033 3.73015
511,2,5,0,0,37.57,102.207,0,598,0,612,1.91463 -8.22772 12.057 12.057 14.5926 1.91463 -0.62096 -20.9057 -25.9768 -13.2989 -8.22772 -0.62096 -15.8345 -18.3701 -13.2989 4.45022 4.45022 12.057 6.9858 -8.22772
536,2,5,3,323.537,41.6743,99.934,0,538,273.996,557,-7.71555 -2.09381 0.717059 9.14967 6.3388 23.204 14.7714 11.9605 26.0149 26.0149 31.6366 6.3388 3.52793 9.14967 9.14967 11.9605 34.4475 40.0692 9.14967 20.3931 17.5823 11.9605 0.717059 -2.09381 9.14967
513,2,5,0,93.44,40.1059,102.662,0,598,0,612,-12.5851 1.89638 9.13712 9.13712 -7.75793 6.72354 4.30996 -5.34435 -2.93078 -7.75793 9.13712 -5.34435 -2.93078 11.5507 16.3779 16.3779 -0.517196 9.13712 18.7914 26.0322
