EventID,Rec_Level,Event_Class,Primary,Gen_LogE,Gen_CosZenith,Gen_Xmax,Gen_dEdXmax,Gen_SDPPhi,Gen_SDPTheta,Gen_Chi0,Gen_Rp,Gen_T0,Gen_CoreEyeDist,Gen_CherenkovFraction,Rec_LogE,Rec_CosZenith,Rec_Xmax,Rec_dEdXmax,Rec_SDPPhi,Rec_SDPTheta,Rec_Chi0,Rec_Rp,Rec_T0,Rec_CoreEyeDist,Rec_CherenkovFraction,Pixel_Start,Pixel_End
Batch_300000775:Shower_5981,10,1,2212,17.0014,0.412467,677.592,0.152227,-1.67371,0.778729,2.51256,3178.98,28544.6,5403.09,70.6242,17.0112,0,524.217,0.145312,-1.66193,0.785999,2.49305,3381.75,28654.3,5593.95,69.4358,4399,4422
Batch_300000775:Shower_6306,10,4,2212,15.8407,0.748408,708.695,0.0105745,-3.13629,2.15803,1.11746,603.792,29995.7,671.632,94.2744,15.7656,0,591.986,0.00782769,-3.14715,2.16233,1.09336,582.255,30042.9,658.078,97.7561,4422,4463
Batch_300000775:Shower_9166,10,1,2212,16.5264,0.854113,721.245,0.0611235,2.44347,1.72692,1.04418,1423,28970.9,1646.02,61.8286,16.6605,0,748.246,0.0624468,2.44066,1.72913,1.04691,1415.6,28964.1,1634.6,66.2377,4463,4518
Batch_300000775:Shower_9174,10,0,2212,16.5264,0.853981,721.245,0.0611235,1.11474,2.11789,1.58081,1130.21,29982,1130.27,65.2054,16.4661,0,633.514,0.0397521,1.118,2.11054,1.52225,1126.64,30064.1,1131.45,89.4701,4518,4561
Batch_300000775:Shower_9179,10,1,2212,16.5264,0.854031,721.245,0.0611235,1.66706,2.05401,1.30323,1115.77,29982.3,1156.94,65.1703,16.6616,0,592.266,0.063203,1.66957,2.0449,1.261,1129.72,30048.2,1189.69,57.6903,4561,4635
Batch_300001542:Shower_2756,10,0,7014,16.9473,0.976261,629.76,0.130977,2.56494,1.48811,1.36812,2474.46,27296.6,2526.17,20.5885,16.9849,0,661.457,0.135152,2.56572,1.48948,1.39987,2407.85,27200.1,2443.28,13.5276,4635,4699
Batch_300000530:Shower_1619,5,4,2004,16.0225,0.777251,553.171,0.0164346,0.21813,2.18339,1.88815,594.07,29995.3,625.293,96.5485,-inf,0,0,0,0.225762,2.2083,1.25919,590.097,30271.9,612.387,-123,4699,4736
Batch_300000530:Shower_1898,10,5,2004,15.4918,0.7655,628.752,0.00447864,1.35372,2.23045,1.82125,680.495,29994.6,702.41,93.1988,15.4568,0,690.783,0.00382639,1.35352,2.23161,1.82466,643.977,29997.4,665.908,96.9454,4736,4760
Batch_300000530:Shower_6632,5,1,7014,16.5081,0.945736,641.651,0.0437987,-1.9563,1.50621,1.24584,999.984,28853.5,1055.21,72.9032,-inf,0,0,0,-1.96894,1.44579,1.7175,876.305,27991.4,877.99,-123,4760,4784
Batch_300000530:Shower_6898,5,5,2004,15.389,0.786385,611.907,0.00356445,2.09702,1.46494,0.912074,496.606,29997.4,627.999,96.9645,-inf,0,0,0,0.0949561,2.45345,1.55873,109.088,30109.5,118.013,-123,4784,4805
Batch_300000530:Shower_9102,10,1,2212,16.9375,0.568401,760.622,0.132034,-1.72337,0.945485,2.36381,2935.4,26915,4183.25,29.9116,16.9871,0,792.486,0.133768,-1.73863,0.940744,2.36503,2940.75,26852.1,4195.79,28.3702,4805,4861
Batch_300000530:Shower_9221,10,4,2212,15.5081,0.806672,591.34,0.00616187,-2.69057,1.7532,0.961753,956.752,29987.5,1166.49,89.8038,15.6208,0,629.706,0.00557466,-2.66859,1.73194,0.953291,936.37,30001.7,1149.49,93.6906,4861,4895
Batch_300000722:Shower_570,10,1,26056,16.511,0.964411,584.734,0.0451504,-1.97146,1.43002,1.34227,1313.58,28709,1348.64,54.1305,16.374,0,557.201,0.032263,-1.91542,1.3984,1.25601,1405.35,28907.9,1482.87,55.3517,4895,4947
Batch_300000722:Shower_589,5,4,26056,16.511,0.964369,584.734,0.0451504,2.54344,1.82343,1.48112,359.973,29884.6,361.426,74.4872,-inf,0,0,0,8.60362,1.51305,0.335619,250.089,30826.1,1264.96,-123,4947,5026
Batch_300000722:Shower_2145,10,5,7014,15.569,0.814215,511.324,0.00550705,-1.09896,0.952684,1.61324,793.286,29991.8,794.001,91.9603,15.6205,0,695.969,0.0055854,-1.21847,0.968801,1.57251,713.116,29979.7,716.603,96.2539,5026,5055
Batch_300000722:Shower_6423,10,0,7014,17.0707,0.806182,597.041,0.170292,-2.72178,1.88082,1.00936,648.413,29994.8,765.998,93.8316,16.9414,0,725.039,0.133217,-2.71647,1.87599,1.0126,654.879,29988.7,771.721,93.513,5055,5206
Batch_300000722:Shower_6443,10,1,7014,17.0707,0.806315,597.041,0.170292,-2.24338,1.55115,0.93786,1717.25,28960.8,2129.81,71.2242,17.0923,0,624.894,0.176822,-2.24322,1.55123,0.94597,1705.51,28937.8,2101.9,76.1086,5206,5274
Batch_300000722:Shower_9169,10,1,2004,16.5404,0.864398,704.769,0.0551672,-3.07285,1.96069,1.20673,1488.24,29967.8,1592.62,60.5238,16.5156,0,755.585,0.0443438,-3.08501,1.97056,1.20948,1374.02,30027.5,1468.11,70.9023,5274,5309
Batch_300000722:Shower_9553,5,4,7014,16.532,0.805554,689.205,0.0495547,0.090271,2.12148,1.90282,967.055,29988,1022.92,90.6062,-inf,0,0,0,0.393902,2.1754,1.81382,337.338,30299.1,345.26,-123,5309,5328
Batch_300000722:Shower_9940,10,4,2212,16.5567,0.482377,650.788,0.0541756,0.0103512,0.781648,2.38677,1252.52,29987.2,1828.07,95.4549,16.5249,0,558.019,0.0452586,-0.0383741,0.756063,2.32853,1206.65,30035.7,1677.05,95.5644,5328,5364
Batch_300001867:Shower_958,5,5,7014,15.729,0.628637,625.556,0.00659174,0.576363,2.39077,1.96952,555.034,29997.7,602.279,97.2685,-inf,0,0,0,0.491252,2.33675,1.36257,514.721,30253.7,553.294,-123,5364,5401
